account_id,account_manager,company_type,sub_team_id,geography,industry,sub_industry
A-0179829,lehae,A,52,central,Resources (Processed),Cardboard & Packaging
A-0183029,beasohe,A,52,central,Other,Other
A-0187914,lunig,A,52,central,Retail & Consumer Goods,Supermarkets & Other stores
A-0231386,lehae,A,59,central,Other,Other
A-0023843,,E,48,central,Other,Other
A-0285171,lunig,A,52,central,Other,Others
A-0309243,lunig,A,52,central,Other,Other
A-0038814,nind,B,56,central,Logistics,Freight Forwarding
A-0040357,lehae,E,52,central,Other,Other
A-0413971,grorie,D,59,central,Retail & Consumer Goods,"Toys, Sports & Hobbies"
A-0414686,lehae,A,52,central,Retail & Consumer Goods,Supermarkets & Other stores
A-0416200,beasohe,C,52,central,Logistics,Freight Forwarding
A-0416786,alarnk,B,69,central,Construction,Building Materials
A-0434729,grorie,D,59,central,Apparel,Accessories
A-0439243,edcu,D,64,central,Resources (Processed),Metals
A-0442629,feacoo,D,54,west,Other,Other
A-0044457,nonvanr,C,60,central,Retail & Consumer Goods,Furniture & Furnishings
A-0445014,rorjosma,E,54,west,Apparel,Textiles
A-0446829,alaogzá,D,54,west,Pharmaceuticals,Pharmaceutical products
A-0450314,lunig,C,52,central,Retail & Consumer Goods,"Toys, Sports & Hobbies"
A-0459043,prcavd,C,69,central,Logistics,Freight Forwarding
A-0465300,słobosł,C,70,east,Food & Beverage,Food - Perishables & Fresh
A-0473457,leaborsk,D,55,south,Other,Other
A-0477929,anska,D,70,east,Other,Other
A-0478229,an-raäm,C,54,west,Retail & Consumer Goods,Other
A-0051671,beasohe,A,52,central,Other,Other
A-0057286,maveitn,C,60,central,Retail & Consumer Goods,Supermarkets & Other stores
A-0072857,nonvanr,C,60,central,Retail & Consumer Goods,"Toys, Sports & Hobbies"
A-0084657,beasohe,A,52,central,Retail & Consumer Goods,Furniture & Furnishings
A-0108000,beasohe,A,52,central,Retail & Consumer Goods,Furniture & Furnishings
A-0109343,beasohe,A,52,central,Retail & Consumer Goods,DIY & Garden
A-0111114,lunig,A,52,central,Industrial & Engineering,Electrical Engineering
A-0127800,beasohe,A,52,central,Other,Other
A-0131214,beasohe,A,52,central,Retail & Consumer Goods,Supermarkets & Other stores
A-0145886,peruon,C,59,central,Other,Other
A-0155143,lehae,A,52,central,Other,Other
A-0155186,alnbulca,D,60,central,Construction,Building Materials
A-0158814,lehae,A,59,central,Other,Other
A-0185729,chsesg,D,59,central,Retail & Consumer Goods,"Toys, Sports & Hobbies"
A-0201286,lehae,A,52,central,Retail & Consumer Goods,Supermarkets & Other stores
A-0231171,lunig,A,52,central,Other,Other
A-0263986,beasohe,A,52,central,Other,Other
A-0265329,lehae,A,52,central,Other,Other
A-0283743,lunig,A,52,central,Other,Other
A-0028671,lehae,C,52,central,Construction,Building Materials
A-0289343,lehae,A,52,central,Other,Other
A-0306814,toeumrh,D,60,central,Healthcare,Medical Devices & Instruments
A-0316443,nonvanr,C,60,central,Retail & Consumer Goods,Entertainment & Leisure
A-0335243,lunig,A,52,central,Other,Other
A-0036300,beasohe,A,52,central,Other,Other
A-0391043,beasohe,A,52,central,Other,Other
A-0039843,beasohe,A,52,central,Retail & Consumer Goods,Household supplies
A-0415500,lehae,A,52,central,Retail & Consumer Goods,Supermarkets & Other stores
